Name,Type,Power,Accuracy(/255),PP,Effect%(/255),Flags,Description
Absorb,GRASS,20,255,20,0,fg,"If this attack is successful, user gains half of HP lost by the opposing Pokémon because of this attack."
Acid,POISON,40,255,30,25,g,May lower the opposing Pokémon’s Defense by 1 stage.
Acid Armor,POISON,0,255,40,0,,Raises user’s Defense by 2 stages.
Aeroblast,FLYING,100,242,5,0,fg,Good chance for a critical hit.
Agility,PSYCHIC,0,255,30,0,,Raises user’s Speed by 2 stages.
Amnesia,PSYCHIC,0,255,20,0,,Raises user’s Special Defense by 2 stages.
AncientPower,ROCK,60,255,5,25,g,"May raise user’s Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
Attract,NORMAL,0,255,15,0,g,Infatuates the opposing Pokémon.
Aurora Beam,ICE,65,255,20,25,g,May lower the opposing Pokémon’s Attack by 1 stage.
Barrage,NORMAL,15,216,20,0,fg,Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.
Barrier,PSYCHIC,0,255,30,0,,Raises user’s Defense by 2 stages.
Baton Pass,NORMAL,0,255,40,0,,Replaces user with a different unfainted non-Egg Pokémon not in battle on user’s side of user’s choice and transfers user’s sta...
Beat Up,DARK,10,255,10,0,fg,"Does one hit for each unfainted Pokémon on user’s side, excluding Eggs and those that are poisoned, burned, paralyzed, frozen,..."
Belly Drum,NORMAL,0,255,10,0,,User loses half max. HP and raises user’s Attack stat stage as much as possible. Will fail if HP reduced would faint user or if...
Bide,NORMAL,0,255,10,0,fg,"If successful and isn’t already in effect, the effect begins and X is set to 0. User uses this attack during each of its attack..."
Bind,NORMAL,15,191,20,0,g,"Multi-turn attack. For three to six turns, opponent can’t switch out or run, and after each turn except the last, opponent lose..."
Bite,DARK,60,255,25,76,g,May make the opposing Pokémon flinch.
Blizzard,ICE,120,178,5,25,g,May freeze the opposing Pokémon.
Body Slam,NORMAL,85,255,15,76,g,May paralyze the opposing Pokémon.
Bone Club,GROUND,65,216,20,25,g,May make the opposing Pokémon flinch.
Bone Rush,GROUND,25,204,10,0,fg,Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.
Bonemerang,GROUND,50,229,10,0,fg,Attacks twice in a row.
Bubble,WATER,20,255,30,25,g,May lower the opposing Pokémon’s Speed by 1 stage.
BubbleBeam,WATER,65,255,20,25,g,May lower the opposing Pokémon’s Speed by 1 stage.
Charm,NORMAL,0,255,20,0,g,Lowers the opposing Pokémon’s Attack by 2 stages.
Clamp,WATER,35,191,10,0,g,"Multi-turn attack. For three to six turns, opponent can’t switch out or run, and after each turn except the last, opponent lose..."
Comet Punch,NORMAL,18,216,15,0,fg,Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.
Confuse Ray,GHOST,0,255,10,0,g,Confuses the opposing Pokémon.
Confusion,PSYCHIC,50,255,25,25,g,May confuse the opposing Pokémon.
Constrict,NORMAL,10,255,35,25,g,May lower the opposing Pokémon’s Speed by 1 stage.
Conversion,NORMAL,0,255,30,0,,"User’s types become the type of one of user’s moves, except Curse, chosen at random. User’s new type reverts to its original ty..."
Conversion 2,NORMAL,0,255,30,0,g,"Changes user’s types to a random type that the type of the last move used by opponent is """"not very effective"""" or ineffective ag..."
Cotton Spore,GRASS,0,216,40,0,g,Lowers the opposing Pokémon’s Speed by 2 stages.
Counter,FIGHTING,1,255,20,0,f,Deals damage to opponent equal to twice the HP lost by user this turn from the last move used by opponent if that move is a phy...
Crabhammer,WATER,90,216,10,0,fg,Good chance for a critical hit.
Cross Chop,FIGHTING,100,204,5,0,fg,Good chance for a critical hit.
Crunch,DARK,80,255,15,51,g,May lower the opposing Pokémon’s Special Defense by 1 stage.
Curse,GHOST,255,10,0,0,,"If user isn’t a Ghost type, lowers user’s Speed by 1 stage and raises user’s Attack and Defense by 1 stage. Will fail if neithe..."
Cut,NORMAL,50,242,30,0,fg,
Defense Curl,NORMAL,0,255,40,0,,"Raises user’s Defense by 1 stage. After user uses this attack, every use of Rollout by user, except while user is asleep, has i..."
Destiny Bond,GHOST,0,255,5,0,,"If an attack by the opposing Pokémon causes the user to faint before user’s next attack segment, the opposing Pokémon faints."
Detect,FIGHTING,0,255,5,0,,"Until the end of opponent’s attack segment, attacks used by opponent will miss. Priority level 2. A variable, X, starts at 255,..."
Dig,GROUND,60,255,10,0,fg,"While using, user doesn’t lose HP because of Sandstorm and is unaffected by most attacks. While using, user doesn’t lose HP because of Sandstorm and is unaffected by most attacks."
Disable,NORMAL,0,140,20,0,g,"Disables the last move used by the opposing Pokémon from one to seven attack segments, at random."
Dizzy Punch,NORMAL,70,255,10,51,g,May confuse the opposing Pokémon.
Double Kick,FIGHTING,30,255,30,0,fg,Attacks twice in a row.
Double Team,NORMAL,0,255,15,0,,"After a successful use of this attack by user, every use of Stomp by opponent has double power, until user leaves battle."
