Name,Type,Category,Power,Accuracy,PP,Effect%,Target,Flags,Description
Absorb,GRASS,Special,20,100,25,0,Single exc. user,be,"If this attack is successful and the target loses HP because of this attack, user gains half that much HP but not less than 1 HP."
Acid,POISON,Special,40,100,30,10,All opposing Pokémon,be,May lower the target’s Special Defense by 1 stage.
Acid Armor,POISON,Status,0,0,40,0,User,d,Raises user’s Defense by 2 stages.
Acupressure,NORMAL,Status,0,0,30,0,User or ally,d,"If any of the target’s stat stages can be raised, raises one of those stat stages chosen at random by 2."
Aerial Ace,FLYING,Physical,60,0,20,0,Single exc. user,abef,
Aeroblast,FLYING,Special,100,95,5,0,Single exc. user,bef,Good chance for a critical hit.
Agility,PSYCHIC,Status,0,0,30,0,User,d,Raises user’s Speed by 2 stages.
Air Cutter,FLYING,Special,55,95,25,0,All opposing Pokémon,bef,Good chance for a critical hit.
Air Slash,FLYING,Special,75,95,20,30,Single exc. user,bef,May make the target flinch.
Amnesia,PSYCHIC,Status,0,0,20,0,User,d,Raises user’s Special Defense by 2 stages.
AncientPower,ROCK,Special,60,100,5,10,Single exc. user,be,"May raise user’s Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
Aqua Jet,WATER,Physical,40,100,20,0,Single exc. user,abef,Priority level 1.
Aqua Ring,WATER,Status,0,0,20,0,User,,"During effect, user gains 1/16 of its maximum HP after each turn."
Aqua Tail,WATER,Physical,90,90,10,0,Single exc. user,abef,
Arm Thrust,FIGHTING,Physical,15,100,20,0,Single exc. user,abef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Aromatherapy,GRASS,Status,0,0,5,0,User's side,d,"Each Pokémon (both in battle and not in battle) on the user’s side stops being poisoned, burned, paralyzed, frozen, and asleep."
Assist,NORMAL,Status,0,0,20,0,No particular target,,"Uses a random move from a random Pokémon on user’s side, other than user and Eggs."
Assurance,DARK,Physical,50,100,10,0,Single exc. user,abef,Power is doubled if the target lost HP this turn (even from Pain Split).
Astonish,GHOST,Physical,30,100,15,30,Single exc. user,abe,May make the target flinch.
Attack Order,BUG,Physical,90,100,15,0,Single exc. user,bef,Good chance for a critical hit.
Attract,NORMAL,Status,0,100,15,0,Single exc. user,bce,Infatuates target.
Aura Sphere,FIGHTING,Special,90,0,20,0,Single exc. user,bef,
Aurora Beam,ICE,Special,65,100,20,10,Single exc. user,be,May lower the target’s Attack by 1 stage.
Avalanche,ICE,Physical,60,100,10,0,Single exc. user,abef,Power is doubled if user lost HP because of a damaging attack by a Pokémon at the target’s position this turn. Priority level -4.
Barrage,NORMAL,Physical,15,85,20,0,Single exc. user,bef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Barrier,PSYCHIC,Status,0,0,30,0,User,d,Raises user’s Defense by 2 stages.
Baton Pass,NORMAL,Status,0,0,40,0,User,,Replaces user with a different unfainted non-Egg Pokémon not in battle with the same controller as user of user’s choice and tr...
Beat Up,DARK,Physical,10,100,10,0,Single exc. user,bef,"Does one hit for user and each other unfainted non-Egg Pokémon on user’s side that aren’t poisoned, burned, paralyzed, frozen,..."
Belly Drum,NORMAL,Status,0,0,10,0,User,d,User loses half max. HP and user’s Attack rises by 12 stages. Will fail if HP reduced would faint user or if user’s Attack can’...
Bide,NORMAL,Physical,1,0,10,0,User,abf,"If successful and isn’t already in effect, the effect begins and X is set to 0. User uses this attack during each of its attack..."
Bind,NORMAL,Physical,15,75,20,0,Single exc. user,abef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose..."
Bite,DARK,Physical,60,100,25,30,Single exc. user,abe,May make the target flinch.
Blast Burn,FIRE,Special,150,90,5,0,Single exc. user,bef,"If successful, on the next turn, user can’t take any action and pauses during its attack segment."
Blaze Kick,FIRE,Physical,85,90,10,10,Single exc. user,abe,Good chance for a critical hit. May burn the target.
Blizzard,ICE,Special,120,70,5,10,All opposing Pokémon,be,"May freeze the target. During Hail, this attack can’t be evaded."
Block,NORMAL,Status,0,0,5,0,Single exc. user,bce,"During effect, target can’t switch out or run."
Body Slam,NORMAL,Physical,85,100,15,30,Single exc. user,abe,May paralyze the target.
Bone Club,GROUND,Physical,65,85,20,10,Single exc. user,be,May make the target flinch.
Bone Rush,GROUND,Physical,25,80,10,0,Single exc. user,bef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Bonemerang,GROUND,Physical,50,90,10,0,Single exc. user,bef,Attacks twice in a row.
Bounce,FLYING,Physical,85,85,5,30,Single exc. user,abef,"Two-turn attack. While using, user is unaffected by most attacks. May paralyze target."
Brave Bird,FLYING,Physical,120,100,15,0,Single exc. user,abef,"If successful and target loses HP because of this attack, user loses 1/3 that much HP (recoil)."
