Number,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,Weight (kg),Catch Rate,Base Happiness,HP,Attack,Defense,Special Attack,Special Defense,Speed,Exp. Curve,Base exp,HP EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV
1,Bulbasaur,Grass,Poison,Chlorophyll,,Overgrow,6.9,45,70,45,49,49,65,65,45,Medium Slow,64,0,0,0,1,0,0
2,Ivysaur,Grass,Poison,Chlorophyll,,Overgrow,13,45,70,60,62,63,80,80,60,Medium Slow,142,0,0,0,1,1,0
3,Venusaur,Grass,Poison,Chlorophyll,,Overgrow,100,45,70,80,82,83,100,100,80,Medium Slow,236,0,0,0,2,1,0
4,Charmander,Fire,,Blaze,,Solar Power,8.5,45,70,39,52,43,60,50,65,Medium Slow,62,0,0,0,0,0,1
5,Charmeleon,Fire,,Blaze,,Solar Power,19,45,70,58,64,58,80,65,80,Medium Slow,142,0,0,0,1,0,1
6,Charizard,Fire,Flying,Blaze,,Solar Power,90.5,45,70,78,84,78,109,85,100,Medium Slow,240,0,0,0,3,0,0
7,Squirtle,Water,,Rain Dish,,Torrent,9,45,70,44,48,65,50,64,43,Medium Slow,63,0,0,1,0,0,0
8,Wartortle,Water,,Rain Dish,,Torrent,22.5,45,70,59,63,80,65,80,58,Medium Slow,142,0,0,1,0,1,0
9,Blastoise,Water,,Rain Dish,,Torrent,85.5,45,70,79,83,100,85,105,78,Medium Slow,239,0,0,0,0,3,0
10,Caterpie,Bug,,Run Away,,Shield Dust,2.9,255,70,45,30,35,20,20,45,Medium,39,1,0,0,0,0,0
11,Metapod,Bug,,Shed Skin,,,9.9,120,70,50,20,55,25,25,30,Medium,72,0,0,2,0,0,0
12,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,32,45,70,60,45,50,80,80,70,Medium,173,0,0,0,2,1,0
13,Weedle,Bug,Poison,Run Away,,Shield Dust,3.2,255,70,40,35,30,20,20,50,Medium,39,0,0,0,0,0,1
14,Kakuna,Bug,Poison,Shed Skin,,,10,120,70,45,25,50,25,25,35,Medium,72,0,0,2,0,0,0
15,Beedrill,Bug,Poison,Sniper,,Swarm,29.5,45,70,65,80,40,45,80,75,Medium,173,0,2,0,0,1,0
16,Pidgey,Normal,Flying,Big Pecks,Tangled Feet,Keen Eye,1.8,255,70,40,45,40,35,35,56,Medium Slow,50,0,0,0,0,0,1
17,Pidgeotto,Normal,Flying,Big Pecks,Tangled Feet,Keen Eye,30,120,70,63,60,55,50,50,71,Medium Slow,122,0,0,0,0,0,2
18,Pidgeot,Normal,Flying,Big Pecks,Tangled Feet,Keen Eye,39.5,45,70,83,80,75,70,70,91,Medium Slow,211,0,0,0,0,0,3
19,Rattata,Normal,,Guts,Run Away,Hustle,3.5,255,70,30,56,35,25,35,72,Medium,51,0,0,0,0,0,1
20,Raticate,Normal,,Guts,Run Away,Hustle,18.5,127,70,55,81,60,50,70,97,Medium,145,0,0,0,0,0,2
21,Spearow,Normal,Flying,Keen Eye,,Sniper,2,255,70,40,60,30,31,31,70,Medium,52,0,0,0,0,0,1
