NUMBER,NAME,TYPE1,TYPE2,ABIILITY1,ABILITY2,HIDDEN_ABILITY,WEIGHT_KG,CATCH_RATE,BASE_HAPPINESS,HP,ATK,DEF,SPATK,SPDEF,SPD,EXP_CURVE,BASE_EXP,HP EV,ATK EV,DEF EV,SPATK EV,SPDEF EV,SPD EV
1,BULBASAUR,GRASS,POISON,,,,6.9,45,70,45,49,49,65,65,45,MEDIUM_SLOW,64,45,49,49,65,65,45
2,IVYSAUR,GRASS,POISON,,,,13,45,70,60,62,63,80,80,60,MEDIUM_SLOW,141,60,62,63,80,80,60
3,VENUSAUR,GRASS,POISON,,,,100,45,70,80,82,83,100,100,80,MEDIUM_SLOW,208,80,82,83,100,100,80
4,CHARMANDER,FIRE,,,,,8.5,45,70,39,52,43,50,50,65,MEDIUM_SLOW,65,39,52,43,50,50,65
5,CHARMELEON,FIRE,,,,,19,45,70,58,64,58,65,65,80,MEDIUM_SLOW,142,58,64,58,65,65,80
6,CHARIZARD,FIRE,FLYING,,,,90.5,45,70,78,84,78,85,85,100,MEDIUM_SLOW,209,78,84,78,85,85,100
7,SQUIRTLE,WATER,,,,,9,45,70,44,48,65,50,50,43,MEDIUM_SLOW,66,44,48,65,50,50,43
8,WARTORTLE,WATER,,,,,22.5,45,70,59,63,80,65,65,58,MEDIUM_SLOW,143,59,63,80,65,65,58
9,BLASTOISE,WATER,,,,,85.5,45,70,79,83,100,85,85,78,MEDIUM_SLOW,210,79,83,100,85,85,78
10,CATERPIE,BUG,,,,,2.9,255,70,45,30,35,20,20,45,MEDIUM_FAST,53,45,30,35,20,20,45
11,METAPOD,BUG,,,,,9.9,120,70,50,20,55,25,25,30,MEDIUM_FAST,72,50,20,55,25,25,30
12,BUTTERFREE,BUG,FLYING,,,,32,45,70,60,45,50,80,80,70,MEDIUM_FAST,160,60,45,50,80,80,70
13,WEEDLE,BUG,POISON,,,,3.2,255,70,40,35,30,20,20,50,MEDIUM_FAST,52,40,35,30,20,20,50
14,KAKUNA,BUG,POISON,,,,10,120,70,45,25,50,25,25,35,MEDIUM_FAST,71,45,25,50,25,25,35
15,BEEDRILL,BUG,POISON,,,,29.5,45,70,65,80,40,45,45,75,MEDIUM_FAST,159,65,80,40,45,45,75
16,PIDGEY,NORMAL,FLYING,,,,1.8,255,70,40,45,40,35,35,56,MEDIUM_SLOW,55,40,45,40,35,35,56
17,PIDGEOTTO,NORMAL,FLYING,,,,30,120,70,63,60,55,50,50,71,MEDIUM_SLOW,113,63,60,55,50,50,71
18,PIDGEOT,NORMAL,FLYING,,,,39.5,45,70,83,80,75,70,70,91,MEDIUM_SLOW,172,83,80,75,70,70,91
19,RATTATA,NORMAL,,,,,3.5,255,70,30,56,35,25,25,72,MEDIUM_FAST,57,30,56,35,25,25,72
20,RATICATE,NORMAL,,,,,18.5,127,70,55,81,60,50,50,97,MEDIUM_FAST,116,55,81,60,50,50,97
21,SPEAROW,NORMAL,FLYING,,,,2,255,70,40,60,30,31,31,70,MEDIUM_FAST,58,40,60,30,31,31,70
22,FEAROW,NORMAL,FLYING,,,,38,90,70,65,90,65,61,61,100,MEDIUM_FAST,162,65,90,65,61,61,100
23,EKANS,POISON,,,,,6.9,255,70,35,60,44,40,40,55,MEDIUM_FAST,62,35,60,44,40,40,55
24,ARBOK,POISON,,,,,65,90,70,60,85,69,65,65,80,MEDIUM_FAST,147,60,85,69,65,65,80
25,PIKACHU,ELECTRIC,,,,,6,190,70,35,55,30,50,50,90,MEDIUM_FAST,82,35,55,30,50,50,90
26,RAICHU,ELECTRIC,,,,,30,75,70,60,90,55,90,90,100,MEDIUM_FAST,122,60,90,55,90,90,100
27,SANDSHREW,GROUND,,,,,12,255,70,50,75,85,30,30,40,MEDIUM_FAST,93,50,75,85,30,30,40
28,SANDSLASH,GROUND,,,,,29.5,90,70,75,100,110,55,55,65,MEDIUM_FAST,163,75,100,110,55,55,65
29,NIDORANF,POISON,,,,,7,235,70,55,47,52,40,40,41,MEDIUM_SLOW,59,55,47,52,40,40,41
30,NIDORINA,POISON,,,,,20,120,70,70,62,67,55,55,56,MEDIUM_SLOW,117,70,62,67,55,55,56
31,NIDOQUEEN,POISON,GROUND,,,,60,45,70,90,82,87,75,75,76,MEDIUM_SLOW,194,90,82,87,75,75,76
32,NIDORANM,POISON,,,,,9,235,70,46,57,40,40,40,50,MEDIUM_SLOW,60,46,57,40,40,40,50
33,NIDORINO,POISON,,,,,19.5,120,70,61,72,57,55,55,65,MEDIUM_SLOW,118,61,72,57,55,55,65
34,NIDOKING,POISON,GROUND,,,,62,45,70,81,92,77,75,75,85,MEDIUM_SLOW,195,81,92,77,75,75,85
35,CLEFAIRY,NORMAL,,,,,7.5,150,140,70,45,48,60,60,35,FAST,68,70,45,48,60,60,35
36,CLEFABLE,NORMAL,,,,,40,25,140,95,70,73,85,85,60,FAST,129,95,70,73,85,85,60
37,VULPIX,FIRE,,,,,9.9,190,70,38,41,40,65,65,65,MEDIUM_FAST,63,38,41,40,65,65,65
38,NINETALES,FIRE,,,,,19.9,75,70,73,76,75,100,100,100,MEDIUM_FAST,178,73,76,75,100,100,100
39,JIGGLYPUFF,NORMAL,,,,,5.5,170,70,115,45,20,25,25,20,FAST,76,115,45,20,25,25,20
40,WIGGLYTUFF,NORMAL,,,,,12,50,70,140,70,45,50,50,45,FAST,109,140,70,45,50,50,45
41,ZUBAT,POISON,FLYING,,,,7.5,255,70,40,45,35,40,40,55,MEDIUM_FAST,54,40,45,35,40,40,55
42,GOLBAT,POISON,FLYING,,,,55,90,70,75,80,70,75,75,90,MEDIUM_FAST,171,75,80,70,75,75,90
43,ODDISH,GRASS,POISON,,,,5.4,255,70,45,50,55,75,75,30,MEDIUM_SLOW,78,45,50,55,75,75,30
44,GLOOM,GRASS,POISON,,,,8.6,120,70,60,65,70,85,85,40,MEDIUM_SLOW,132,60,65,70,85,85,40
45,VILEPLUME,GRASS,POISON,,,,18.6,45,70,75,80,85,100,100,50,MEDIUM_SLOW,184,75,80,85,100,100,50
46,PARAS,BUG,GRASS,,,,5.4,190,70,35,70,55,55,55,25,MEDIUM_FAST,70,35,70,55,55,55,25
47,PARASECT,BUG,GRASS,,,,29.5,75,70,60,95,80,80,80,30,MEDIUM_FAST,128,60,95,80,80,80,30
48,VENONAT,BUG,POISON,,,,30,190,70,60,55,50,40,40,45,MEDIUM_FAST,75,60,55,50,40,40,45
49,VENOMOTH,BUG,POISON,,,,12.5,75,70,70,65,60,90,90,90,MEDIUM_FAST,138,70,65,60,90,90,90
50,DIGLETT,GROUND,,,,,0.8,255,70,10,55,25,45,45,95,MEDIUM_FAST,81,10,55,25,45,45,95
51,DUGTRIO,GROUND,,,,,33.3,50,70,35,80,50,70,70,120,MEDIUM_FAST,153,35,80,50,70,70,120
